year,date,id,sex,lon,lat
2015,2015-08-21T00:00:00Z,BI041080 ZF-196,Hona,522739,6994761
2015,2015-08-25T00:00:00Z,BI041095 ZF-210,Hona,493989,6954214
2015,2015-08-23T00:00:00Z,BI407047 Z15-317,Hane,513280,6985327
2015,2015-08-23T00:00:00Z,BI406999 Z15-269,Hona,500308,7089563
2015,2015-08-23T00:00:00Z,BI407295 Z15-565,Hona,421757,6925997
2015,2015-08-23T00:00:00Z,BI407317 Z15-587 +,Hane,448067,7011146
2015,2015-08-22T00:00:00Z,BI407075 Z15-345,Hona,485140,6873389
2015,2015-08-25T00:00:00Z,BI041002 ZF-11,Hona,468873,7094089
2015,2015-08-23T00:00:00Z,BI406552 Y15-063,Hane,616738,6990534
2015,2015-08-23T00:00:00Z,BI041333 ZM-129,Hane,435063,7013025
2015,2015-08-21T00:00:00Z,BI407297 W1902 Z15-567,Hane,546910,7009701
2015,2015-08-22T00:00:00Z,BI041291 ZF-84 Z15-249,Hona,555010,7103397
2015,2015-08-25T00:00:00Z,BI407145 Z15-415,Hona,519598,6976215
2015,2015-08-21T00:00:00Z,BI407047 Z15-317,Hane,521980,6998305
2015,2015-08-24T00:00:00Z,BI407007 Z15-277,Hona,416284,6879823
2015,2015-08-24T00:00:00Z,BI407142 Z15-412,Hona,484121,6881223
2015,2015-08-21T00:00:00Z,BI407030 Z15-300,Hane,541208,7010159
2015,2015-08-25T00:00:00Z,BI406558 Y15-069,Hane,532498,6942589
2015,2015-08-25T00:00:00Z,BI407343 Z15-613,Hona,534047,7036766
2015,2015-08-22T00:00:00Z,BI406962 Z15-232,Hane,523273,7125888
2015,2015-08-23T00:00:00Z,BI080374 X12-179,Hane,518987,6993698
2015,2015-08-22T00:00:00Z,BI406574 Y15-085,Hane,641969,7027854
2015,2015-08-21T00:00:00Z,BI407312 Z15-582,Hona,455440,6987586
2015,2015-08-21T00:00:00Z,BI406772 Z15-042 +,Hane,476836,7137139
2015,2015-08-21T00:00:00Z,BI407164 Z15-434,Hona,535734,7085215
2015,2015-08-25T00:00:00Z,BI406648 Y15-159,Hane,645788,7048520
2015,2015-08-25T00:00:00Z,BI407368 Z15-638,Hona,479368,6874577
2015,2015-08-26T00:00:00Z,BI407297 W1902 Z15-567,Hane,552301,7016047
2015,2015-08-25T00:00:00Z,BI407108 Z15-378,Hane,508349,6886327
2015,2015-08-25T00:00:00Z,BI407042 Z15-312,Hona,517390,7022892
2015,2015-08-25T00:00:00Z,BI406593 Y15-104,Hona,616960,6966423
2015,2015-08-25T00:00:00Z,BI407289 Z15-559,Hona,524991,7003178
2015,2015-08-26T00:00:00Z,BI407069 Z15-339 +,Hane,552510,7016539
2015,2015-08-25T00:00:00Z,BI407127 Z15-397,Hane,522761,7002911
2015,2015-08-25T00:00:00Z,BI041291 ZF-84 Z15-249,Hona,547771,7107147
2015,2015-08-26T00:00:00Z,BI407291 Z15-561,Hona,411684,6885584
2015,2015-08-25T00:00:00Z,BI041066 ZF-177 Z15-194,Hona,435898,7005708
2015,2015-08-21T00:00:00Z,BI041499 ZM-321 Y15-179 +,Hane,600178,6990474
2015,2015-08-21T00:00:00Z,BI406976 Z15-246,Hona,570120,7109262
2015,2015-08-22T00:00:00Z,BI407045 Z15-315,Hane,463131,6945730
2015,2015-08-21T00:00:00Z,BI000030 ZF-354 JL3,Hona,476246,7142943
2015,2015-08-21T00:00:00Z,BI407057 Z15-327,Hane,511571,6952188
2015,2015-08-22T00:00:00Z,BI407029 Z15-299,Hona,547925,7102387
2015,2015-08-27T00:00:00Z,BI407106 Z15-376,Hane,477753,6929509
2015,2015-08-27T00:00:00Z,BI406926 Z15-196 +,Hona,460120,6953155
2015,2015-08-25T00:00:00Z,BI406942 Z15-212,Hane,522714,7068877
2015,2015-08-26T00:00:00Z,BI407289 Z15-559,Hona,524987,7003065
2015,2015-08-27T00:00:00Z,BI407038 Z15-308,Hona,450488,7174230
2015,2015-08-27T00:00:00Z,BI407013 Z15-283,Hona,549405,7109670
2015,2015-08-27T00:00:00Z,BI407143 Z15-413,Hane,496184,6945342
2015,2015-08-22T00:00:00Z,BI406889 Z15-159,Hona,380324,6936990
2015,2015-08-25T00:00:00Z,BI041066 ZF-177 Z15-194,Hona,436567,7010625
2015,2015-08-25T00:00:00Z,BI406652 Y15-163,Hona,650000,7070000
2015,2015-08-27T00:00:00Z,BI406956 Z15-226,Hane,548271,7107983
2015,2015-08-26T00:00:00Z,BI407080 Z15-350,Hane,537366,7030488
2015,2015-08-26T00:00:00Z,BI407005 Z15-275,Hona,535190,7126677
2015,2015-08-25T00:00:00Z,BI405023 NT119,Hane,403775,6962738
2015,2015-08-27T00:00:00Z,BI405773 NT120 +,Hane,450001,7167585
2015,2015-08-26T00:00:00Z,BI406697 Y15-208,Hona,656716,7059104
